date,home_team,away_team,country,country_full_home,country_full_away,neutral,rank_diff,point_diff,point_increase_home,point_increase_away,score_diff,home_won,lati_cn_home,long_cn_home,lati_cn_away,long_cn_away,rest_days
1993-05-07,United Arab Emirates,Japan,United Arab Emirates,United Arab Emirates,Japan,0,-7.0,3.0,25.0,22.0,0.0,0,0.0,0.0,12.780748000000004,84.40510600000002,4.0
1993-05-09,Canada,Mexico,Canada,Canada,Mexico,0,32.0,-18.0,25.0,43.0,-1.0,-1,0.0,0.0,32.495865,3.793987000000001,14.0
1993-05-09,El Salvador,Honduras,El Salvador,El Salvador,Honduras,0,10.0,-4.0,28.0,32.0,1.0,1,0.0,0.0,1.4058139999999997,2.654624999999996,7.0
1993-05-11,India,Hong Kong,Lebanon,India,Hong Kong,1,24.0,-3.0,2.0,5.0,-1.0,-1,13.261036999999998,43.100595,11.458292999999998,78.247212,14.0
1993-05-12,Bulgaria,Israel,Bulgaria,Bulgaria,Israel,0,-38.0,18.0,41.0,23.0,0.0,0,0.0,0.0,11.687832,9.365782000000005,14.0
1993-05-12,Estonia,Malta,Estonia,Estonia,Malta,0,59.0,-16.0,3.0,19.0,-1.0,-1,0.0,0.0,22.657776,10.638191,14.0
1993-05-13,Finland,Austria,Finland,Finland,Austria,0,10.0,-7.0,31.0,38.0,2.0,1,0.0,0.0,14.407879,11.198079,14.0
1993-05-14,Kuwait,Malaysia,Saudi Arabia,Kuwait,Malaysia,1,-20.0,8.0,21.0,13.0,2.0,1,5.425718,2.402604000000004,19.675458,56.896604,9.0
1993-05-15,Bahrain,India,Lebanon,Bahrain,India,1,-55.0,11.0,13.0,2.0,1.0,1,7.924306999999999,14.775486999999998,13.261036999999998,43.100595,14.0
1993-05-15,Latvia,Albania,Latvia,Latvia,Albania,0,13.0,-4.0,10.0,14.0,0.0,0,0.0,0.0,15.726303,4.434858000000002,14.0
1993-05-16,Saudi Arabia,Malaysia,Saudi Arabia,Saudi Arabia,Malaysia,0,-43.0,15.0,28.0,13.0,3.0,1,0.0,0.0,19.675458,56.896604,14.0
1993-05-18,Saudi Arabia,Kuwait,Saudi Arabia,Saudi Arabia,Kuwait,0,-23.0,7.0,28.0,21.0,2.0,1,0.0,0.0,5.425718,2.402604000000004,2.0
1993-05-19,Estonia,Scotland,Estonia,Estonia,Scotland,0,109.0,-40.0,3.0,43.0,-3.0,-1,0.0,0.0,2.104572000000005,29.216207,7.0
1993-05-19,San Marino,Poland,San Marino,San Marino,Poland,0,106.0,-42.0,4.0,46.0,-3.0,-1,0.0,0.0,7.977077999999999,6.687359000000001,14.0
1993-05-19,Sweden,Austria,Sweden,Sweden,Austria,0,-30.0,18.0,56.0,38.0,1.0,1,0.0,0.0,12.61193,4.093429,14.0
1993-05-20,Luxembourg,Iceland,Luxembourg,Luxembourg,Iceland,0,57.0,-19.0,10.0,29.0,0.0,0,0.0,0.0,15.147777999999995,25.150418,14.0
1993-05-22,Belgium,Faroe Islands,Belgium,Belgium,Faroe Islands,0,-77.0,36.0,48.0,12.0,3.0,1,0.0,0.0,11.388748,11.381742,14.0
1993-05-22,Jordan,Yemen,Jordan,Jordan,Yemen,0,-5.0,2.0,8.0,6.0,0.0,0,0.0,0.0,15.032436999999998,12.277974,14.0
1993-05-22,Pakistan,China PR,Jordan,Pakistan,China PR,1,89.0,-25.0,1.0,26.0,-5.0,-1,0.2098429999999993,33.106702000000006,5.276496000000002,67.95698300000001,14.0
1993-05-23,Russia,Greece,Russia,Russia,Greece,0,-23.0,14.0,52.0,38.0,0.0,0,0.0,0.0,22.449802,83.49444399999999,14.0
1993-05-24,Jordan,Iraq,Jordan,Jordan,Iraq,0,28.0,-7.0,8.0,15.0,0.0,0,0.0,0.0,2.638027000000001,7.440877,2.0
1993-05-24,Yemen,Pakistan,Jordan,Yemen,Pakistan,1,-30.0,5.0,6.0,1.0,4.0,1,15.032436999999998,12.277974,0.2098429999999993,33.106702000000006,14.0
1993-05-25,Lithuania,Northern Ireland,Lithuania,Lithuania,Northern Ireland,0,50.0,-19.0,12.0,31.0,-1.0,-1,0.0,0.0,0.3817379999999986,30.373575,14.0
1993-05-26,Albania,Republic of Ireland,Albania,Albania,Republic of Ireland,0,80.0,-40.0,14.0,54.0,-1.0,-1,0.0,0.0,12.259577999999998,28.412221,14.0
1993-05-26,Jordan,China PR,Jordan,Jordan,China PR,0,54.0,-18.0,8.0,26.0,-3.0,-1,0.0,0.0,5.276496000000002,67.95698300000001,2.0
1993-05-26,Yemen,Iraq,Jordan,Yemen,Iraq,1,33.0,-9.0,6.0,15.0,-5.0,-1,15.032436999999998,12.277974,2.638027000000001,7.440877,2.0
1993-05-28,Pakistan,Iraq,Jordan,Pakistan,Iraq,1,63.0,-14.0,1.0,15.0,-8.0,-1,0.2098429999999993,33.106702000000006,2.638027000000001,7.440877,6.0
